,Name,Genre,ID,Year,Imdb Rating,Director,Votes,Gross,malesRating,malesCount,femalesRating,femalesCount
39,Kimetsu no Yaiba: Mugen Ressha-Hen,Action,tt11032374,2020,8.2,Haruo Sotozaki,"52,251",47.7,8.0,"17,867",8.2,"2,340"
40,V for Vendetta,Action,tt0434409,2005,8.2,James McTeigue,"1,098,914",70.51,8.2,"677,719",8.2,"142,400"
41,Batman Begins,Action,tt0372784,2005,8.2,Christopher Nolan,"1,426,995",206.85,8.3,"865,929",8.1,"138,803"
42,Kill Bill: Vol. 1,Action,tt0266697,2003,8.2,Quentin Tarantino,"1,083,831",70.1,8.1,"645,160",8.2,"129,688"
43,"Lock, Stock and Two Smoking Barrels",Action,tt0120735,1998,8.2,Guy Ritchie,"571,002",3.9,8.2,"385,957",8.1,"48,446"
44,Jurassic Park,Action,tt0107290,1993,8.2,Steven Spielberg,"945,371",402.45,8.2,"550,274",8.1,"107,308"
45,Indiana Jones and the Last Crusade,Action,tt0097576,1989,8.2,Steven Spielberg,"738,145",197.17,8.3,"458,140",8.1,"72,002"
46,Die Hard,Action,tt0095016,1988,8.2,John McTiernan,"857,153",83.01,8.3,"546,651",7.9,"76,365"
47,Ran,Action,tt0089881,1985,8.2,Akira Kurosawa,"123,308",4.14,8.2,"80,799",8.0,"8,615"
48,Yôjinbô,Action,tt0055630,1961,8.2,Akira Kurosawa,"120,841",92.52,8.2,"79,258",7.9,"8,425"
49,The General,Action,tt0017925,1926,8.2,Clyde Bruckman,"89,887",1.03,8.2,"56,750",8.0,"8,723"
50,The Lord of the Rings: The Return of the King,Adventure,tt0167260,2003,9.0,Peter Jackson,"1,777,166",377.85,9.0,"1,027,904",8.9,"218,150"
51,Everything Everywhere All at Once,Adventure,tt6710474,2022,8.8,Dan Kwan,"39,711",92.52,8.7,"17,826",8.7,"3,781"
52,Inception,Adventure,tt1375666,2010,8.8,Christopher Nolan,"2,269,287",292.58,8.8,"1,260,681",8.7,"293,467"
53,The Lord of the Rings: The Two Towers,Adventure,tt0167261,2002,8.8,Peter Jackson,"1,605,071",342.55,8.8,"923,037",8.7,"201,716"
54,The Lord of the Rings: The Fellowship of the Ring,Adventure,tt0120737,2001,8.8,Peter Jackson,"1,798,460",315.54,8.8,"1,023,550",8.8,"229,375"
55,"Il buono, il brutto, il cattivo",Adventure,tt0060196,1966,8.8,Sergio Leone,"742,383",6.1,8.9,"490,621",8.4,"48,929"
56,The Empire Strikes Back,Adventure,tt0080684,1980,8.7,Irvin Kershner,"1,250,377",290.48,8.8,"748,520",8.5,"114,637"
57,Interstellar,Adventure,tt0816692,2014,8.6,Christopher Nolan,"1,729,417",188.02,8.6,"914,451",8.4,"179,589"
58,Sen to Chihiro no kamikakushi,Adventure,tt0245429,2001,8.6,Hayao Miyazaki,"731,975",10.06,8.5,"373,201",8.7,"122,502"
59,Star Wars,Adventure,tt0076759,1977,8.6,George Lucas,"1,321,909",322.74,8.6,"785,623",8.4,"128,929"
60,Gladiator,Adventure,tt0172495,2000,8.5,Ridley Scott,"1,453,664",187.71,8.6,"869,621",8.3,"154,091"
61,The Lion King,Adventure,tt0110357,1994,8.5,Roger Allers,"1,024,112",422.78,8.4,"536,485",8.8,"175,720"
62,Back to the Future,Adventure,tt0088763,1985,8.5,Robert Zemeckis,"1,160,343",210.61,8.6,"664,077",8.4,"134,231"
63,Spider-Man: Into the Spider-Verse,Adventure,tt4633694,2018,8.4,Bob Persichetti,"489,724",190.24,8.3,"239,014",8.5,"36,758"
64,Avengers: Endgame,Adventure,tt4154796,2019,8.4,Anthony Russo,"1,050,643",858.37,8.3,"474,594",8.5,"85,962"
65,Avengers: Infinity War,Adventure,tt4154756,2018,8.4,Anthony Russo,"1,013,259",678.82,8.4,"498,823",8.4,"88,001"
66,Coco,Adventure,tt2380307,I 2017,8.4,Lee Unkrich,"476,870",209.73,8.3,"218,939",8.6,"68,211"
67,Spider-Man: No Way Home,Adventure,tt10872600,2021,8.4,Jon Watts,"626,882",92.52,8.2,"231,346",8.5,"37,616"
68,WALL·E,Adventure,tt0910970,2008,8.4,Andrew Stanton,"1,083,681",223.81,8.4,"618,113",8.5,"156,256"
69,Mononoke-hime,Adventure,tt0119698,1997,8.4,Hayao Miyazaki,"381,988",2.38,8.3,"210,569",8.3,"56,888"
70,Aliens,Adventure,tt0090605,1986,8.4,James Cameron,"699,486",85.16,8.4,"452,114",8.1,"58,062"
71,Raiders of the Lost Ark,Adventure,tt0082971,1981,8.4,Steven Spielberg,"943,363",248.16,8.5,"579,638",8.2,"92,676"
72,Up,Adventure,tt1049413,2009,8.3,Pete Docter,"1,013,760",293.0,8.2,"548,807",8.4,"170,239"
73,Toy Story 3,Adventure,tt0435761,2010,8.3,Lee Unkrich,"813,590",415.0,8.3,"468,212",8.3,"118,054"
74,Inglourious Basterds,Adventure,tt0361748,2009,8.3,Quentin Tarantino,"1,394,110",120.54,8.3,"818,931",8.3,"159,734"
75,Toy Story,Adventure,tt0114709,1995,8.3,John Lasseter,"963,408",191.8,8.3,"530,434",8.3,"137,803"
76,Star Wars: Episode VI - Return of the Jedi,Adventure,tt0086190,1983,8.3,Richard Marquand,"1,021,491",309.13,8.3,"611,256",8.3,"95,614"
77,2001: A Space Odyssey,Adventure,tt0062622,1968,8.3,Stanley Kubrick,"651,544",56.95,8.3,"404,760",7.9,"54,314"
78,Lawrence of Arabia,Adventure,tt0056172,1962,8.3,David Lean,"287,958",44.82,8.3,"183,677",8.0,"25,973"
79,North by Northwest,Adventure,tt0053125,1959,8.3,Alfred Hitchcock,"321,579",13.28,8.3,"198,042",8.2,"35,571"
80,Inside Out,Adventure,tt2096673,I 2015,8.2,Pete Docter,"687,663",356.46,8.2,"337,960",8.2,"110,764"
81,Kimetsu no Yaiba: Mugen Ressha-Hen,Adventure,tt11032374,2020,8.2,Haruo Sotozaki,"52,251",47.7,8.0,"17,867",8.2,"2,340"
82,Hauru no ugoku shiro,Adventure,tt0347149,2004,8.2,Hayao Miyazaki,"379,205",4.71,8.0,"187,049",8.6,"74,313"
83,Finding Nemo,Adventure,tt0266543,2003,8.2,Andrew Stanton,"1,017,068",380.84,8.1,"543,321",8.4,"175,763"
84,Jurassic Park,Adventure,tt0107290,1993,8.2,Steven Spielberg,"945,371",402.45,8.2,"550,274",8.1,"107,308"
85,Indiana Jones and the Last Crusade,Adventure,tt0097576,1989,8.2,Steven Spielberg,"738,145",197.17,8.3,"458,140",8.1,"72,002"
86,Monty Python and the Holy Grail,Adventure,tt0071853,1975,8.2,Terry Gilliam,"531,428",1.23,8.2,"326,302",8.2,"61,058"
87,Dersu Uzala,Adventure,tt0071411,1975,8.2,Akira Kurosawa,"28,264",92.52,8.2,"19,648",8.3,"2,151"
88,The Great Escape,Adventure,tt0057115,1963,8.2,John Sturges,"240,703",12.1,8.2,"160,051",8.2,"17,429"
89,The Bridge on the River Kwai,Adventure,tt0050212,1957,8.2,David Lean,"217,174",44.91,8.2,"143,855",8.0,"15,775"
90,Le salaire de la peur,Adventure,tt0046268,1953,8.2,Henri-Georges Clouzot,"60,059",92.52,8.2,"40,063",7.8,"4,506"
91,The Treasure of the Sierra Madre,Adventure,tt0040897,1948,8.2,John Huston,"123,100",5.01,8.2,"79,789",7.9,"10,135"
92,The General,Adventure,tt0017925,1926,8.2,Clyde Bruckman,"89,887",1.03,8.2,"56,750",8.0,"8,723"
93,The Gold Rush,Adventure,tt0015864,1925,8.2,Charles Chaplin,"109,722",5.45,8.2,"69,833",8.1,"10,565"
94,Klaus,Adventure,tt4729430,2019,8.1,Sergio Pablos,"141,873",92.52,8.0,"67,896",8.4,"19,303"
95,Bajrangi Bhaijaan,Adventure,tt3863552,2015,8.1,Kabir Khan,"85,053",8.18,7.9,"43,661",8.1,"4,609"
96,Queen,Adventure,tt3322420,2013,8.1,Vikas Bahl,"65,069",1.43,8.1,"39,072",8.2,"5,998"
97,The Grand Budapest Hotel,Adventure,tt2278388,2014,8.1,Wes Anderson,"780,832",59.1,8.1,"424,032",8.1,"122,220"
98,Mad Max: Fury Road,Adventure,tt1392190,2015,8.1,George Miller,"968,988",154.06,8.1,"560,048",7.9,"92,965"
99,Harry Potter and the Deathly Hallows: Part 2,Adventure,tt1201607,2011,8.1,David Yates,"845,860",381.01,8.0,"450,011",8.5,"149,240"
100,Sen to Chihiro no kamikakushi,Animation,tt0245429,2001,8.6,Hayao Miyazaki,"731,975",10.06,8.5,"373,201",8.7,"122,502"
101,The Lion King,Animation,tt0110357,1994,8.5,Roger Allers,"1,024,112",422.78,8.4,"536,485",8.8,"175,720"
102,Hotaru no haka,Animation,tt0095327,1988,8.5,Isao Takahata,"266,729",92.52,8.5,"144,443",8.6,"37,981"
103,Kimi no na wa.,Animation,tt5311514,2016,8.4,Makoto Shinkai,"250,241",5.02,8.3,"111,398",8.4,"27,021"
104,Spider-Man: Into the Spider-Verse,Animation,tt4633694,2018,8.4,Bob Persichetti,"489,724",190.24,8.3,"239,014",8.5,"36,758"
105,Coco,Animation,tt2380307,I 2017,8.4,Lee Unkrich,"476,870",209.73,8.3,"218,939",8.6,"68,211"
106,WALL·E,Animation,tt0910970,2008,8.4,Andrew Stanton,"1,083,681",223.81,8.4,"618,113",8.5,"156,256"
107,Mononoke-hime,Animation,tt0119698,1997,8.4,Hayao Miyazaki,"381,988",2.38,8.3,"210,569",8.3,"56,888"
108,Up,Animation,tt1049413,2009,8.3,Pete Docter,"1,013,760",293.0,8.2,"548,807",8.4,"170,239"
109,Toy Story 3,Animation,tt0435761,2010,8.3,Lee Unkrich,"813,590",415.0,8.3,"468,212",8.3,"118,054"
110,Toy Story,Animation,tt0114709,1995,8.3,John Lasseter,"963,408",191.8,8.3,"530,434",8.3,"137,803"
111,Inside Out,Animation,tt2096673,I 2015,8.2,Pete Docter,"687,663",356.46,8.2,"337,960",8.2,"110,764"
112,Kimetsu no Yaiba: Mugen Ressha-Hen,Animation,tt11032374,2020,8.2,Haruo Sotozaki,"52,251",47.7,8.0,"17,867",8.2,"2,340"
113,Hauru no ugoku shiro,Animation,tt0347149,2004,8.2,Hayao Miyazaki,"379,205",4.71,8.0,"187,049",8.6,"74,313"
114,Finding Nemo,Animation,tt0266543,2003,8.2,Andrew Stanton,"1,017,068",380.84,8.1,"543,321",8.4,"175,763"
115,Koe no katachi,Animation,tt5323662,2016,8.1,Naoko Yamada,"75,221",92.52,7.9,"29,520",7.9,"7,199"
116,Klaus,Animation,tt4729430,2019,8.1,Sergio Pablos,"141,873",92.52,8.0,"67,896",8.4,"19,303"
117,Ôkami kodomo no Ame to Yuki,Animation,tt2140203,2012,8.1,Mamoru Hosoda,"43,884",92.52,8.0,"21,629",8.2,"8,088"
118,Mary and Max.,Animation,tt0978762,2009,8.1,Adam Elliot,"175,004",92.52,8.0,"100,923",8.4,"34,013"
119,How to Train Your Dragon,Animation,tt0892769,2010,8.1,Dean DeBlois,"719,897",217.58,8.0,"395,174",8.4,"124,666"
120,Ratatouille,Animation,tt0382932,2007,8.1,Brad Bird,"703,150",206.45,8.0,"388,580",8.1,"120,638"
121,"Monsters, Inc.",Animation,tt0198781,2001,8.1,Pete Docter,"883,036",289.92,8.0,"470,848",8.3,"145,211"
122,Tonari no Totoro,Animation,tt0096283,1988,8.1,Hayao Miyazaki,"327,431",1.11,8.1,"163,458",8.4,"60,484"
123,WolfWalkers,Animation,tt5198068,2020,8.0,Tomm Moore,"30,424",92.52,7.9,"16,393",8.2,"3,273"
124,Soul,Animation,tt2948372,2020,8.0,Pete Docter,"309,025",92.52,8.0,"137,140",8.1,"34,754"
125,Zootopia,Animation,tt2948356,2016,8.0,Byron Howard,"481,674",341.27,7.9,"241,711",8.2,"74,479"
126,Kaguya-hime no monogatari,Animation,tt2576852,2013,8.0,Isao Takahata,"45,193",1.51,7.9,"24,181",8.1,"7,871"
127,Song of the Sea,Animation,tt1865505,2014,8.0,Tomm Moore,"57,392",0.86,7.9,"31,014",8.4,"11,411"
128,Persepolis,Animation,tt0808417,2007,8.0,Vincent Paronnaud,"93,765",4.45,7.9,"56,516",8.3,"19,217"
129,The Incredibles,Animation,tt0317705,2004,8.0,Brad Bird,"710,013",261.44,8.0,"406,309",7.9,"104,442"
130,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Animation,tt0169858,1997,8.0,Hideaki Anno,"52,097",92.52,7.9,"29,443",7.9,"3,380"
131,Pâfekuto burû,Animation,tt0156887,1997,8.0,Satoshi Kon,"71,983",0.78,7.9,"39,104",7.9,"8,184"
132,The Iron Giant,Animation,tt0129167,1999,8.0,Brad Bird,"187,501",23.16,8.0,"116,886",8.0,"22,441"
133,Aladdin,Animation,tt0103639,1992,8.0,Ron Clements,"403,115",217.35,8.0,"209,548",8.2,"80,528"
134,Beauty and the Beast,Animation,tt0101414,1991,8.0,Gary Trousdale,"442,291",218.97,7.9,"213,763",8.6,"108,967"
135,Akira,Animation,tt0094625,1988,8.0,Katsuhiro Ôtomo,"181,156",0.55,7.9,"117,309",7.7,"12,106"
136,Tenkû no shiro Rapyuta,Animation,tt0092067,1986,8.0,Hayao Miyazaki,"163,046",92.52,8.0,"90,558",8.0,"26,399"
137,Kaze no tani no Naushika,Animation,tt0087544,1984,8.0,Hayao Miyazaki,"166,219",0.5,8.0,"95,849",8.1,"23,447"
138,Fantastic Mr. Fox,Animation,tt0432283,2009,7.9,Wes Anderson,"224,864",21.0,7.8,"132,374",7.8,"33,399"
139,Shrek,Animation,tt0126029,2001,7.9,Andrew Adamson,"659,592",267.67,7.8,"363,382",8.0,"108,908"
140,Toy Story 2,Animation,tt0120363,1999,7.9,John Lasseter,"566,095",245.85,7.9,"324,903",7.8,"79,645"
141,Mimi wo sumaseba,Animation,tt0113824,1995,7.9,Yoshifumi Kondô,"60,646",92.52,7.8,"29,047",8.0,"13,038"
142,Kôkaku Kidôtai,Animation,tt0113568,1995,7.9,Mamoru Oshii,"140,239",0.52,7.9,"92,726",7.8,"10,397"
143,The Nightmare Before Christmas,Animation,tt0107688,1993,7.9,Henry Selick,"326,649",75.08,7.9,"167,068",8.2,"72,656"
144,Doragon bôru chô: Burorî,Animation,tt7961060,2018,7.8,Tatsuya Nagamine,"26,277",30.71,7.7,"15,105",7.9,610
145,Isle of Dogs,Animation,tt5104604,2018,7.8,Wes Anderson,"163,315",32.02,7.7,"86,675",8.0,"19,933"
146,Kubo and the Two Strings,Animation,tt4302938,2016,7.8,Travis Knight,"127,110",48.02,7.7,"74,977",7.9,"16,134"
147,Loving Vincent,Animation,tt3262342,2017,7.8,Dorota Kobiela,"56,859",6.74,7.6,"28,327",8.1,"10,904"
148,Big Hero 6,Animation,tt2245084,2014,7.8,Don Hall,"447,927",222.53,7.7,"237,339",8.1,"74,097"
149,How to Train Your Dragon 2,Animation,tt1646971,2014,7.8,Dean DeBlois,"327,700",177.0,7.7,"181,106",8.1,"55,056"
150,Schindler's List,Biography,tt0108052,1993,9.0,Steven Spielberg,"1,316,144",96.9,9.0,"750,230",9.0,"169,181"
151,Goodfellas,Biography,tt0099685,1990,8.7,Martin Scorsese,"1,115,398",46.84,8.7,"692,098",8.4,"90,029"
152,The Intouchables,Biography,tt1675434,2011,8.5,Olivier Nakache,"831,582",13.18,8.5,"448,242",8.7,"131,913"
153,Sardar Udham,Biography,tt10280296,2021,8.5,Shoojit Sircar,"39,246",92.52,8.2,"11,420",7.6,634
154,The Pianist,Biography,tt0253474,2002,8.5,Roman Polanski,"805,019",32.57,8.5,"448,870",8.7,"118,171"
155,Hamilton,Biography,tt8503618,2020,8.4,Thomas Kail,"87,030",92.52,8.1,"36,430",9.0,"13,877"
156,Shershaah,Biography,tt10295212,2021,8.4,Vishnuvardhan,"116,870",92.52,7.9,"18,991",8.1,"1,697"
157,Braveheart,Biography,tt0112573,1995,8.4,Mel Gibson,"1,016,811",75.6,8.4,"631,594",8.1,"110,100"
158,Amadeus,Biography,tt0086879,1984,8.4,Milos Forman,"393,457",51.97,8.3,"229,125",8.4,"58,566"
159,Ayla: The Daughter of War,Biography,tt6316138,2017,8.3,Can Ulkay,"38,892",92.52,8.1,"18,909",8.6,"5,298"
160,Dangal,Biography,tt5074352,2016,8.3,Nitesh Tiwari,"182,734",12.39,8.3,"94,322",8.4,"13,368"
161,Lawrence of Arabia,Biography,tt0056172,1962,8.3,David Lean,"287,958",44.82,8.3,"183,677",8.0,"25,973"
162,Green Book,Biography,tt6966692,2018,8.2,Peter Farrelly,"463,871",85.08,8.2,"232,759",8.4,"56,864"
163,Bhaag Milkha Bhaag,Biography,tt2356180,2013,8.2,Rakeysh Omprakash Mehra,"66,823",1.63,8.2,"42,298",7.9,"2,806"
164,Paan Singh Tomar,Biography,tt1620933,2012,8.2,Tigmanshu Dhulia,"35,929",0.04,8.1,"24,667",7.7,"1,015"
165,The Wolf of Wall Street,Biography,tt0993846,2013,8.2,Martin Scorsese,"1,340,923",116.9,8.2,"721,884",7.8,"159,737"
166,Der Untergang,Biography,tt0363163,2004,8.2,Oliver Hirschbiegel,"350,216",5.51,8.3,"240,293",8.1,"30,116"
167,A Beautiful Mind,Biography,tt0268978,2001,8.2,Ron Howard,"910,491",170.74,8.2,"521,295",8.3,"132,564"
168,Raging Bull,Biography,tt0081398,1980,8.2,Martin Scorsese,"346,065",23.38,8.2,"231,152",7.7,"21,615"
169,The Elephant Man,Biography,tt0080678,1980,8.2,David Lynch,"236,956",92.52,8.2,"147,793",8.2,"29,591"
170,Dersu Uzala,Biography,tt0071411,1975,8.2,Akira Kurosawa,"28,264",92.52,8.2,"19,648",8.3,"2,151"
171,La passion de Jeanne d'Arc,Biography,tt0019254,1928,8.2,Carl Theodor Dreyer,"53,530",0.02,8.2,"31,818",8.1,"5,534"
172,Hacksaw Ridge,Biography,tt2119532,2016,8.1,Mel Gibson,"501,819",67.21,8.0,"279,354",8.3,"46,751"
173,12 Years a Slave,Biography,tt2024544,2013,8.1,Steve McQueen,"685,867",56.67,8.1,"391,439",8.2,"102,286"
174,Rush,Biography,tt1979320,I 2013,8.1,Ron Howard,"468,546",26.95,8.1,"305,215",8.0,"43,104"
175,Ford v Ferrari,Biography,tt1950186,2019,8.1,James Mangold,"366,675",117.62,8.0,"198,820",8.1,"28,044"
176,Spotlight,Biography,tt1895587,I 2015,8.1,Tom McCarthy,"459,363",45.06,8.0,"254,653",8.1,"64,179"
177,Hachi: A Dog's Tale,Biography,tt1028532,2009,8.1,Lasse Hallström,"277,702",92.52,8.0,"147,709",8.4,"51,279"
178,Into the Wild,Biography,tt0758758,2007,8.1,Sean Penn,"611,975",18.35,8.1,"370,701",8.1,"94,216"
179,Hotel Rwanda,Biography,tt0395169,2004,8.1,Terry George,"351,018",23.53,8.1,"226,244",8.3,"46,397"
180,Catch Me If You Can,Biography,tt0264464,2002,8.1,Steven Spielberg,"938,683",164.62,8.1,"514,072",8.1,"122,054"
181,In the Name of the Father,Biography,tt0107207,1993,8.1,Jim Sheridan,"171,550",25.01,8.1,"109,381",8.2,"18,281"
182,Gandhi,Biography,tt0083987,1982,8.1,Richard Attenborough,"227,995",52.77,8.1,"148,674",8.0,"24,899"
183,The Message,Biography,tt0074896,1976,8.1,Moustapha Akkad,"47,041",92.52,8.0,"32,945",7.8,"2,837"
184,The Sound of Music,Biography,tt0059742,1965,8.1,Robert Wise,"226,433",163.21,7.9,"100,221",8.4,"62,574"
185,Inherit the Wind,Biography,tt0053946,1960,8.1,Stanley Kramer,"29,888",92.52,8.1,"20,024",8.2,"3,310"
186,Lion,Biography,tt3741834,2016,8.0,Garth Davis,"232,182",51.74,7.9,"120,480",8.3,"43,663"
187,The Imitation Game,Biography,tt2084970,2014,8.0,Morten Tyldum,"748,976",91.13,7.9,"410,324",8.3,"116,170"
188,The King's Speech,Biography,tt1504320,2010,8.0,Tom Hooper,"670,924",138.8,8.0,"389,926",8.2,"125,595"
189,Ip Man,Biography,tt1220719,2008,8.0,Wilson Yip,"221,392",92.52,8.0,"162,631",7.9,"13,072"
190,Persepolis,Biography,tt0808417,2007,8.0,Vincent Paronnaud,"93,765",4.45,7.9,"56,516",8.3,"19,217"
191,The Pursuit of Happyness,Biography,tt0454921,2006,8.0,Gabriele Muccino,"495,590",163.57,8.0,"296,035",8.0,"72,831"
192,Le scaphandre et le papillon,Biography,tt0401383,2007,8.0,Julian Schnabel,"107,112",5.99,8.0,"70,509",8.1,"19,956"
193,Mar adentro,Biography,tt0369702,I 2004,8.0,Alejandro Amenábar,"81,210",2.09,7.9,"50,536",8.2,"15,884"
194,Cinderella Man,Biography,tt0352248,2005,8.0,Ron Howard,"185,411",61.65,8.0,"128,916",7.9,"20,417"
195,The Straight Story,Biography,tt0166896,1999,8.0,David Lynch,"89,322",6.2,8.0,"59,030",7.9,"9,110"
196,Dog Day Afternoon,Biography,tt0072890,1975,8.0,Sidney Lumet,"252,472",50.0,8.0,"173,980",8.1,"20,121"
197,Zerkalo,Biography,tt0072443,1975,8.0,Andrei Tarkovsky,"45,597",0.18,7.9,"28,084",8.2,"5,009"
198,Papillon,Biography,tt0070511,1973,8.0,Franklin J. Schaffner,"129,107",53.27,8.0,"91,212",7.9,"10,247"
199,Butch Cassidy and the Sundance Kid,Biography,tt0064115,1969,8.0,George Roy Hill,"213,215",102.31,8.0,"138,966",8.0,"19,778"
200,Hababam Sinifi,Comedy,tt0252487,1975,9.3,Ertem Egilmez,"40,114",92.52,9.2,"26,161",9.4,"3,251"
201,Everything Everywhere All at Once,Comedy,tt6710474,2022,8.8,Dan Kwan,"39,711",92.52,8.7,"17,826",8.7,"3,781"
202,La vita è bella,Comedy,tt0118799,1997,8.6,Roberto Benigni,"676,451",57.6,8.6,"366,700",8.9,"110,658"
203,Gisaengchung,Comedy,tt6751668,2019,8.5,Bong Joon Ho,"742,689",53.37,8.5,"337,385",8.5,"78,057"
204,The Intouchables,Comedy,tt1675434,2011,8.5,Olivier Nakache,"831,582",13.18,8.5,"448,242",8.7,"131,913"
205,Back to the Future,Comedy,tt0088763,1985,8.5,Robert Zemeckis,"1,160,343",210.61,8.6,"664,077",8.4,"134,231"
206,Modern Times,Comedy,tt0027977,1936,8.5,Charles Chaplin,"237,230",0.16,8.5,"144,235",8.4,"25,937"
207,City Lights,Comedy,tt0021749,1931,8.5,Charles Chaplin,"181,547",0.02,8.5,"111,899",8.4,"19,851"
208,Spider-Man: Into the Spider-Verse,Comedy,tt4633694,2018,8.4,Bob Persichetti,"489,724",190.24,8.3,"239,014",8.5,"36,758"
